序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4085,300571,平治信息,32.35,-2.24,-0.74,82039.0,265681465.28,3.26,33.11,32.03,33.0,33.09,0.44,7.1,107.24,3.1,4513740311.0,3739772255.0,0.0,0.0,-0.19,28.99
4086,688379,华光新材,28.34,-2.24,-0.65,20450.0,58424331.0,3.79,29.3,28.2,28.99,28.99,0.5,2.27,6.69,2.33,2553023637.0,2553023637.0,-0.28,0.14,32.37,38.79
4087,301113,雅艺科技,19.66,-2.24,-0.45,18938.0,37645451.7,2.88,20.22,19.64,20.01,20.11,0.78,3.44,180.71,2.6,1789060000.0,1083609362.0,0.05,0.0,5.02,12.66
4088,688337,普源精电,35.79,-2.24,-0.82,24528.0,87687765.0,4.15,36.69,35.17,36.61,36.61,0.52,3.61,459.13,2.19,6946983234.0,2430180798.0,-0.06,0.0,-3.79,-8.23
4089,300623,捷捷微电,29.68,-2.24,-0.68,98553.0,293443292.16,3.1,30.45,29.51,30.21,30.36,0.9,1.38,55.24,4.17,24696131996.0,21131796717.0,-0.03,0.03,-14.84,-13.11
4090,301356,天振股份,16.52,-2.25,-0.38,53597.0,90045666.21,5.56,17.34,16.4,16.72,16.9,1.05,9.78,32.47,1.2,3568320000.0,905461200.0,-0.3,0.36,-7.14,4.82
4091,300231,银信科技,11.32,-2.25,-0.26,135716.0,154267661.6,2.76,11.59,11.27,11.58,11.58,0.79,3.05,56.88,3.1,5029119680.0,5028861415.0,0.09,-0.09,-11.49,-9.15
4092,301268,铭利达,17.39,-2.25,-0.4,20668.0,36087342.0,3.26,17.85,17.27,17.78,17.79,0.6,1.15,-39.59,4.02,6962900387.0,3137021262.0,-0.06,-0.06,10.06,4.89
4093,300363,博腾股份,14.79,-2.25,-0.34,75670.0,112439774.0,2.58,15.14,14.75,15.13,15.13,0.76,1.51,-470.76,1.55,8067420251.0,7401663146.0,0.0,-0.07,-15.39,-6.21
4094,688539,高华科技,26.46,-2.25,-0.61,26851.0,71464068.0,3.36,27.25,26.34,26.98,27.07,0.84,2.56,324.39,2.85,4919443200.0,2770891200.0,0.0,0.0,2.96,4.13
4095,300820,英杰电气,43.36,-2.25,-1.0,23665.0,102890673.4,2.84,44.36,43.1,44.36,44.36,0.75,2.13,47.57,3.92,9609399320.0,4813382587.0,-0.02,-0.09,-20.53,-21.52
4096,300787,海能实业,13.91,-2.25,-0.32,62201.0,86951088.88,3.02,14.29,13.86,14.29,14.23,1.07,3.85,46.72,2.45,3666173251.0,2246493613.0,0.14,0.22,4.04,3.65
4097,688516,奥特维,33.92,-2.25,-0.78,26580.0,90685365.0,3.05,34.9,33.84,34.9,34.7,0.86,0.91,18.92,2.62,10686577781.0,9883013558.0,-0.09,-0.12,-21.12,-21.68
4098,002703,浙江世宝,12.15,-2.25,-0.28,191205.0,233030784.0,3.06,12.43,12.05,12.39,12.43,0.72,3.26,51.27,5.02,9994983466.0,7120484099.0,-0.08,0.16,-11.76,6.86
4099,688249,晶合集成,20.88,-2.25,-0.48,88505.0,185831435.0,2.39,21.36,20.85,21.36,21.36,0.92,0.75,77.3,1.99,41888102078.0,24779584212.0,-0.05,0.0,-13.5,-10.54
4100,600048,保利发展,8.25,-2.25,-0.19,1167040.0,968421866.0,2.84,8.46,8.22,8.45,8.44,1.18,0.97,12.66,0.51,98756158199.0,98756158199.0,0.0,0.0,-2.6,-6.88
4101,002889,东方嘉盛,20.35,-2.26,-0.47,31958.0,65502595.36,2.45,20.86,20.35,20.71,20.82,0.77,1.82,31.63,2.26,5489666468.0,3564274865.0,0.0,-0.05,-1.45,1.29
4102,300242,佳云科技,4.33,-2.26,-0.1,177869.0,77311441.0,2.26,4.42,4.32,4.42,4.43,0.6,2.83,-52.67,9.67,2747624120.0,2726066773.0,-0.23,0.0,-15.1,6.39
4103,300788,中信出版,30.23,-2.26,-0.7,19435.0,59063676.0,2.52,30.92,30.14,30.79,30.93,0.8,1.02,26.48,2.59,5748280298.0,5748280298.0,0.1,0.03,-16.49,-4.24
4104,603466,风语筑,10.4,-2.26,-0.24,180762.0,188177540.0,3.2,10.65,10.31,10.6,10.64,0.93,3.04,38.4,2.8,6185771301.0,6185771301.0,-0.1,-0.19,7.22,11.59
4105,300188,国投智能,13.43,-2.26,-0.31,93388.0,125852518.31,2.26,13.69,13.38,13.69,13.74,0.98,1.09,-22.83,3.41,11542780273.0,11491990431.0,-0.07,-0.07,-14.29,-2.61
4106,603659,璞泰来,17.24,-2.27,-0.4,134943.0,233211629.0,3.34,17.69,17.1,17.67,17.64,0.95,0.63,18.89,1.95,36844731013.0,36831520070.0,0.06,0.06,9.88,8.36
4107,000810,创维数字,11.62,-2.27,-0.27,131861.0,153837582.76,2.61,11.88,11.57,11.88,11.89,0.75,1.18,627.2,2.1,13365510757.0,13003752222.0,-0.09,-0.09,-21.65,-26.64
4108,300470,中密控股,37.42,-2.27,-0.87,41428.0,155928445.64,2.64,38.2,37.19,37.97,38.29,1.36,2.1,20.64,2.8,7789769185.0,7391169400.0,0.0,0.0,4.44,-0.74
4109,002495,佳隆股份,2.58,-2.27,-0.06,341143.0,88325003.2,3.03,2.65,2.57,2.65,2.64,0.77,5.01,257.91,2.16,2413914048.0,1757560319.0,-0.39,0.39,4.03,1.57
4110,002878,元隆雅图,14.66,-2.27,-0.34,59083.0,87013215.0,3.0,15.05,14.6,15.03,15.0,0.59,2.52,38.77,2.79,3840623589.0,3433496038.0,-0.14,-0.07,-16.8,-11.04
4111,688711,宏微科技,15.96,-2.27,-0.37,25664.0,41071053.0,3.86,16.46,15.83,16.4,16.33,0.72,1.21,783.82,3.28,3397631593.0,3397631593.0,-0.13,-0.13,-10.54,-7.64
4112,300163,ST先锋,3.45,-2.27,-0.08,261941.0,93769065.0,7.93,3.72,3.44,3.55,3.53,1.05,6.16,16.33,3.21,1635300000.0,1467833726.0,0.29,0.0,33.72,47.44
4113,688314,康拓医疗,31.4,-2.27,-0.73,30176.0,95550304.0,5.26,32.6,30.91,32.14,32.13,0.86,3.71,26.52,3.96,2550910001.0,2550910001.0,-0.41,-0.16,2.25,9.03
4114,002268,电科网安,15.51,-2.27,-0.36,88870.0,138273090.4,2.27,15.81,15.45,15.8,15.87,0.92,1.05,-24.35,2.38,13116450317.0,13112617873.0,0.0,0.26,-13.55,-4.55
4115,300660,江苏雷利,59.9,-2.27,-1.39,94266.0,566474204.26,5.29,62.3,59.06,61.0,61.29,0.6,2.95,51.1,5.51,19131056615.0,19115740065.0,0.0,0.02,22.75,56.72
4116,000592,平潭发展,3.01,-2.27,-0.07,888523.0,269052381.0,3.25,3.1,3.0,3.07,3.08,0.72,4.64,336.02,3.07,5814660485.0,5764428271.0,0.0,0.33,1.01,4.88
4117,603004,鼎龙科技,20.2,-2.27,-0.47,32876.0,66920081.0,2.81,20.75,20.17,20.73,20.67,0.61,5.58,33.07,2.34,4757504000.0,1189376000.0,0.0,-0.1,-5.96,-1.99
4118,301348,蓝箭电子,23.2,-2.27,-0.54,35099.0,81684605.32,3.07,23.79,23.06,23.76,23.74,0.81,2.71,-159.12,3.05,4640000000.0,2999357294.0,0.09,0.13,-10.04,-9.45
4119,603688,石英股份,33.07,-2.28,-0.77,162522.0,538296076.0,4.2,34.03,32.61,34.0,33.84,0.92,3.0,84.9,3.08,17913301017.0,17913301017.0,-0.09,-0.12,21.67,15.11
4120,002526,山东矿机,3.85,-2.28,-0.09,901722.0,349582690.9,3.55,3.96,3.82,3.9,3.94,0.87,5.09,32.33,2.16,6863756269.0,6818675086.0,-0.52,-0.26,-11.7,9.07
4121,300058,蓝色光标,8.58,-2.28,-0.2,761779.0,655417414.0,2.73,8.78,8.54,8.72,8.78,0.66,3.11,56.75,2.82,21679976038.0,21004662968.0,0.0,0.12,-15.88,-7.54
4122,601881,中国银河,15.83,-2.28,-0.37,570263.0,907602300.0,2.47,16.18,15.78,16.17,16.2,0.8,0.79,14.35,1.54,173091587712.0,114663300972.0,0.0,0.06,9.4,3.94
4123,301048,金鹰重工,9.42,-2.28,-0.22,66586.0,63031338.0,2.59,9.65,9.4,9.59,9.64,0.91,1.25,35.91,1.87,5024000628.0,5024000628.0,0.0,-0.11,5.02,0.53
4124,600714,金瑞矿业,10.68,-2.29,-0.25,53858.0,57589809.0,2.74,10.93,10.63,10.91,10.93,0.82,1.87,50.34,4.06,3077722596.0,3077722596.0,0.0,0.19,1.81,9.88
4125,002843,泰嘉股份,23.94,-2.29,-0.56,137281.0,329229040.35,3.02,24.49,23.75,24.3,24.5,0.77,5.47,101.6,4.36,6083430794.0,6003973934.0,-0.21,0.0,-12.76,12.29
4126,601012,隆基绿能,14.92,-2.29,-0.35,530921.0,797244309.0,2.36,15.28,14.92,15.28,15.27,0.83,0.7,-19.68,1.92,113064502061.0,113064389475.0,-0.13,-0.27,-6.92,-5.03
4127,301318,维海德,31.56,-2.29,-0.74,27955.0,88710775.66,2.41,32.3,31.52,32.1,32.3,0.6,4.78,25.2,2.27,4264730447.0,1846690699.0,0.06,0.06,-14.56,6.91
